period,operator,metric,segment,value,unit,source_id,estimated
FY2023,_market,mobile_lines,mobile,4.563,m,hakom/R06,true
FY2024,_market,mobile_lines,mobile,4.718,m,hakom/R08,true
FY2025,_market,mobile_lines,mobile,4.961,m,hakom/R09,true
FY2024,_market,fixed_broadband_subscribers,fixed,1.147,m,hakom/R08,true
FY2025,_market,fixed_broadband_subscribers,fixed,1.184,m,hakom/R09,true
FY2024,_market,tv_subscribers,tv,0.927,m,hakom/R08,false
FY2024,_market,market_revenue,total,1869.9,EUR_m,hakom/R08,false
FY2025,_market,market_revenue,total,1870.0,EUR_m,hakom/R09,true
FY2023,hrvatski-telekom,revenue,total,1039.3,EUR_m,hrvatski-telekom/S03,false
FY2024,hrvatski-telekom,revenue,total,1101.6,EUR_m,hrvatski-telekom/S04,false
FY2025,hrvatski-telekom,revenue,total,1141.7,EUR_m,hrvatski-telekom/S05,false
FY2023,hrvatski-telekom,ebitda,total,397.5,EUR_m,hrvatski-telekom/S03,false
FY2024,hrvatski-telekom,ebitda,total,416.2,EUR_m,hrvatski-telekom/S04,false
FY2025,hrvatski-telekom,ebitda,total,429.8,EUR_m,hrvatski-telekom/S05,false
FY2024,hrvatski-telekom,net_income,total,141.9,EUR_m,hrvatski-telekom/S04,false
FY2024,hrvatski-telekom,mobile_subscribers,mobile,2.477,m,hrvatski-telekom/S04,false
FY2024,hrvatski-telekom,fixed_broadband_subscribers,fixed,0.669,m,hrvatski-telekom/S04,false
FY2022,a1-croatia,revenue,total,470,EUR_m,a1-croatia/S06,true
FY2023,a1-croatia,revenue,total,525,EUR_m,a1-croatia/S05,true
FY2024,a1-croatia,revenue,total,570,EUR_m,a1-croatia/S01,true
FY2022,a1-croatia,ebitda,total,161,EUR_m,a1-croatia/S06,true
FY2023,a1-croatia,ebitda,total,189,EUR_m,a1-croatia/S05,true
FY2024,a1-croatia,ebitda,total,224,EUR_m,a1-croatia/S01,true
FY2024,a1-croatia,mobile_subscribers,mobile,2.158,m,a1-croatia/S01,true
FY2024,a1-croatia,fixed_broadband_subscribers,fixed,0.722,m,a1-croatia/S01,true
